 Precipitation Required to End Current Drought
 January 2014
A drought is considered to be ameliorated when the PHDI is
        raised to -2.0, and ended when above -0.5         
-9.99 indicates that PHDI is currently above -2.0
         1-Mon    2-Mon    3-Mon    4-Mon    5-Mon    6-Mon
03904    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03905    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03906    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03907    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03908    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03909    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04001    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04002    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04003    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04004    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04101     3.34     3.80     4.60     5.97     8.98    11.72
04102     5.49     6.40     7.48     9.72    13.55    16.59
04103    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04104    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04105    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04106    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04107    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04108    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04109    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04110    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04201    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04202    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04203     5.38     6.83     8.34     9.93    11.33    12.29
04204    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04205     7.82     9.34    10.81    12.31    13.56    14.40
04206    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04207    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04301    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04302    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04303    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04401    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04402    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04403    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04404    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04405    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04406    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04501    36.37    42.75    49.92    53.76    55.92    57.32
04502     9.27    10.62    11.97    13.00    13.95    14.90
04503    10.61    14.28    17.60    19.73    21.40    22.96
04504    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04505    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04506    12.33    14.55    16.45    17.06    17.59    18.13
04507     4.06     5.11     5.95     6.59     7.59     8.54
04508     3.54     4.40     5.07     5.48     6.10     6.83
04509     6.55     7.69     9.07    10.24    11.78    13.28
04510     5.67     6.85     8.09     9.09    10.27    11.36
04601    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04602    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04603    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04604    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04605    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04606    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04701    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04702    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04703    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04704     3.39     3.93     5.19     7.64    11.23    15.52
04705    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04706    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04707    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04708    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04709    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04801     5.92     6.59     7.58     8.52     9.99    11.91
04802    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04803     3.30     3.85     4.56     5.49     6.71     7.81
04804    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04805    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04806    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04807    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04808    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04809    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
04810     2.46     3.03     4.11     5.50     6.98     8.30
